,heading,content,keyword
41,重庆两江新区中德（水土）智能制造产业园下半年投用,近日，记者从重庆两江新区建设局获悉，位于两江新区水土高新生态城的中德（水土）智能制造产业园项目正在推进中，目前基本形象工程已完工，预计今年下半年投用。据了解，水土园项目以机器人及核心基础部件、智能传感器、智能终端设备等智能制造产业为主，建成后将力争形成以先进制造、电子信息、机器人等产业为主的产业集群。,"[('智能', 0.5207387848996364), ('水土', 0.5140004093181818), ('两江', 0.33389741020654545), ('机器人', 0.30836882373454544), ('新区', 0.30440903870763636)]"
42,落地有声，透彻影像首个AI胃部病理辅助诊断系统落地解放军总医院,经过3个月的试运行，在刚刚过去的春节前夕，透彻影像与解放军总医院联合研发的胃部病理辅助诊断系统Thorough Insights，在解放军总医院正式落地，成为全球首个大规模部署的病理辅助诊断系统，敏感度100%，特异性86%。透彻影像是一家专注于人工智能病理辅助诊断领域的医疗信息化公司。成立不到两年，目前已经与解放军总医院、医科院肿瘤医院、中日友好医院、北京协和医院等多家国内顶尖三甲医院建立了合作关系。近日，其与解放军总医院联合研发的胃部病理辅助诊断系统，已经正式进入商业运行阶段。目前，透彻影像已经完成了由弘道资本领投的3000万人民币的天使轮融资。,"[('解放军总医院', 0.5651144707816091), ('诊断系统', 0.4554320852206896), ('病理', 0.37565875259770115), ('辅助', 0.33125879241011497), ('透彻', 0.31756309550862066)]"
43,艾伦人工智能研究所发布 scispaCy 包含擅长处理生物医学、科学及临床文本的 spaCy 模型,机器之心获悉，艾伦人工智能研究所宣布，包含有擅长处理生物医学、科学及临床文本的 spaCy 模型的 ScispaCyPython 包现已正式公布。,"[('spaCy', 0.597738375145), ('ScispaCyPython', 0.597738375145), ('艾伦', 0.5144879869650001), ('生物医学', 0.505824400905), ('人工智能', 0.4729013197745)]"
44,英国利兹大学招募博士生，用AI改变健康医疗,2 月 22 日消息，英国利兹大学将招募博士生，建立一个新的博士培训中心（CDT），重点是癌症的早期发现、诊断、治疗和护理，旨在培养下一代人工智能医疗保健先驱，用AI改变健康医疗 。据介绍，研究人员将与包括利兹教学医院信托基金（LTHT）、英国国民健康服务（NHS）在内的主要国家合作伙伴合作。LTHT是欧洲最大的教学医院之一。它被称为癌症研究的主要中心，拥有世界着名的生物医学研究设施和领先的临床试验研究单位。,"[('LTHT', 0.35685873142985075), ('研究', 0.25813442447462687), ('癌症', 0.25634243799791046), ('教学', 0.22101201975492538), ('英国利兹大学', 0.19712732046865672)]"
45,凤凰金融推出「凤凰真准」 专业化+智能化领航财富管理服务,"「凤凰真准」作为一款智能化资产配置产品,利用人工智能满足大量中产新富人群多样化、个性化的财富管理需求,凭借「智能化+专业化」的优势,实现了财富管理业务的一次跨越。长期以来,凤凰金融以移动互联、人工智能、大数据、云计算等新兴技术与财富管理各场景各环节结合。凤凰金融自2015年开始实施「智能金融」战略,此次推出的「凤凰真准」便是该战略指导下,又一面向大众的「智能+财富管理」的应用。","[('凤凰', 0.47468194325636365), ('财富', 0.38591023300121213), ('真准', 0.36226568190606057), ('人工智能', 0.28660686046939393), ('管理', 0.28328891514060606)]"
46,浙江发布新一代人工智能发展行动计划,《浙江省促进新一代人工智能发展行动计划（2019—2022年）》（以下简称《行动计划》）近日印发，旨在加大人工智能核心技术攻关和深度融合应用力度，不断催生新产业，培育新动能，抢占制高点，促进全省经济社会智能化升级和高质量发展。《行动计划》提出的行动目标为，以数字经济为引领，超前系统布局，优化顶层设计，增强原创能力，务实核心基础，发展人工智能软硬件及智能终端产品，提升制造业智能化水平，完善公共支撑体系建设，推动人工智能与经济社会发展和人类生活需求深度融合，促进新一代人工智能高质量发展。力争到2022年，浙江省在关键领域、基础能力、企业培育、支撑体系等方面取得显著进步，成为全国领先的新一代人工智能核心技术引领区、产业发展示范区和创新发展新高地。,"[('人工智能', 0.5206253061737615), ('行动计划', 0.26063837210449536), ('发展', 0.22959130140440365), ('2022', 0.21935353216330275), ('支撑体系', 0.21935353216330275)]"
47,亚马逊高管公开表示，人工智能在医疗领域的应用终于超越了炒作,2 月 22 日消息，亚马逊高管 Kass-Hout公开表示，人工智能在医疗领域的应用终于超越了炒作。人工智能工具不会取代医生，而是帮助他们更好地完成工作。据了解，Taha Kass-Hout是前美国FDA（食品和药物管理局）首席健康信息官，2018年3月份加入亚马逊，来帮助亚马逊发展医疗保健业务。,"[('亚马逊', 0.6745833920297872), ('Kass', 0.5087135107617021), ('Hout', 0.5087135107617021), ('人工智能', 0.4024692083187234), ('22', 0.25435675538085106)]"
48,南京农大构建世界首个植物重复基因数据库,2月21日，南京农业大学园艺学院教授张绍铃团队在国际著名学术期刊Genome Biology在线发表研究论文，系统鉴定了梨等141种植物基因组中不同类型重复基因，构建世界首个植物重复基因数据库，揭示重复基因进化的普遍规律。该团队前期系统鉴定梨基因组中重复基因的基础上，开发了一个具有普遍适用性的生物信息学方法（命名为DupGen_finder），用于鉴定植物界中不同种类植物基因组中的重复基因。深入分析141种植物基因组中重复基因含量随时间变化规律发现，基因串联复制和邻近复制在植物漫长的进化过程中始终保持较高的发生频率，为植物适应复杂多变的外界环境提供了源源不断的遗传变异材料。,"[('基因', 0.5607348231734375), ('基因组', 0.4523398005958333), ('重复', 0.43230548042), ('植物', 0.36350720229625), ('141', 0.24905765631041665)]"
49,亚马逊高管公开表示，人工智能在医疗领域的应用终于超越了炒作,2 月 22 日消息，亚马逊高管 Kass-Hout公开表示，人工智能在医疗领域的应用终于超越了炒作。人工智能工具不会取代医生，而是帮助他们更好地完成工作。据了解，Taha Kass-Hout是前美国FDA（食品和药物管理局）首席健康信息官，2018年3月份加入亚马逊，来帮助亚马逊发展医疗保健业务。,"[('亚马逊', 0.6745833920297872), ('Kass', 0.5087135107617021), ('Hout', 0.5087135107617021), ('人工智能', 0.4024692083187234), ('22', 0.25435675538085106)]"
50,艾伦人工智能研究所发布 scispaCy 包含擅长处理生物医学、科学及临床文本的 spaCy 模型,机器之心获悉，艾伦人工智能研究所宣布，包含有擅长处理生物医学、科学及临床文本的 spaCy 模型的 ScispaCyPython 包现已正式公布。,"[('spaCy', 0.597738375145), ('ScispaCyPython', 0.597738375145), ('艾伦', 0.5144879869650001), ('生物医学', 0.505824400905), ('人工智能', 0.4729013197745)]"
51,工业和信息化部与湖南省人民政府签署加快推进制造强省共建智能制造高地的框架协议,2月22日，工业和信息化部部长苗圩与湖南省委副书记、省人民政府省长许达哲在北京签署《工业和信息化部湖南省人民政府关于加快推进制造强省共建智能制造高地的框架协议》。根据协议，部省双方将加快推进泛长株潭衡城市群「3+2」产业集群建设（工程机械、轨道交通装备、中小航空发动机、电子信息、新材料产业集群），深化各类产业基金领域合作，加快发展智能网联汽车和网络安全产业，推动军民融合产业深度发展等，共同建设智能制造高地，促进湖南省制造业高质量发展。,"[('产业', 0.3595193760519737), ('加快', 0.2302213694767105), ('集群', 0.22484450992894733), ('制造', 0.21813950379315789), ('高地', 0.21360138078026317)]"
52,江苏苏州发布中日智能制造创新产业园战略规划,22日，野村综合研究所作为规划编制机构，对外发布了苏州（相城）中日智能制造创新产业园战略规划。当天，相城经济技术开发区与日本瑞穗银行合作签约。根据规划，苏州（相城）中日智能制造创新产业园总面积38.5平方公里，规划「一核两翼」功能布局，即中枢服务核和技术转化翼、智力支持翼。相城经济技术开发区与日本瑞穗银行的合作将包括：协助相城经济技术开发区开展精准招商工作，包括向开发区推荐日资企业项目，协助开发区开展招商活动，协同开发区制定产业政策等。瑞穗银行（中国）有限公司行长竹田和史表示，本次签约对加快推进中日产业园建设发展具有重大意义，能从各个方面对应中日双方企业的各种需求。,"[('相城', 0.569274642995238), ('瑞穗', 0.33774960315142855), ('中日', 0.30595736147961905), ('技术开发区', 0.2757766402837143), ('产业园', 0.2745776631665714)]"
53,落地有声，透彻影像首个AI胃部病理辅助诊断系统落地解放军总医院,经过3个月的试运行，在刚刚过去的春节前夕，透彻影像与解放军总医院联合研发的胃部病理辅助诊断系统Thorough Insights，在解放军总医院正式落地，成为全球首个大规模部署的病理辅助诊断系统，敏感度100%，特异性86%。透彻影像是一家专注于人工智能病理辅助诊断领域的医疗信息化公司。成立不到两年，目前已经与解放军总医院、医科院肿瘤医院、中日友好医院、北京协和医院等多家国内顶尖三甲医院建立了合作关系。近日，其与解放军总医院联合研发的胃部病理辅助诊断系统，已经正式进入商业运行阶段。目前，透彻影像已经完成了由弘道资本领投的3000万人民币的天使轮融资。,"[('解放军总医院', 0.5651144707816091), ('诊断系统', 0.4554320852206896), ('病理', 0.37565875259770115), ('辅助', 0.33125879241011497), ('透彻', 0.31756309550862066)]"
54,重庆两江新区中德（水土）智能制造产业园下半年投用,近日，记者从重庆两江新区建设局获悉，位于两江新区水土高新生态城的中德（水土）智能制造产业园项目正在推进中，目前基本形象工程已完工，预计今年下半年投用。据了解，水土园项目以机器人及核心基础部件、智能传感器、智能终端设备等智能制造产业为主，建成后将力争形成以先进制造、电子信息、机器人等产业为主的产业集群。,"[('智能', 0.5207387848996364), ('水土', 0.5140004093181818), ('两江', 0.33389741020654545), ('机器人', 0.30836882373454544), ('新区', 0.30440903870763636)]"
55,5G商用「元年」来临，如何开启智慧医疗时代？,当前，第五代移动通信技术（5G）正在阔步前行，它将以全新的网络架构，提供至少十倍于4G的峰值速率、毫秒级的传输时延和千亿级的连接能力，开启万物广泛互联、人机深度交互的新时代。2019年被称为5G商用的元年，通过提供更快的连接和更高的带宽，5G无线网络的发展将改善远程医疗和远程护理。5G代表了一种全新的数字医疗网络，它的到来，将把医疗模式提升到一个新的高度，并为整个行业带来显著的经济效益。动脉网摘编了国内外多份有关「5G+医疗」的行业报告和深度研究，力求详尽展示5G技术在医疗领域的前沿动态和落地实践。,"[('5G', 0.7969845001933333), ('医疗', 0.36538039365388886), ('远程', 0.18023816624622221), ('全新', 0.16291547181244445), ('深度', 0.15461233842577776)]"
56,富国证券：未来5年人工智能芯片市场将实现大幅增长,富国证券近日表示，未来5年人工智能芯片市场将实现大幅增长。该公司分析师 Aaron Rakers 引述了知名市场分析公司 Gartner 的预测，后者称全球人工智能芯片的销售额将在 2023 年达到 343 亿美元，而去年这一数字为 42.7 亿美元，年增长率可达 52%。Gartner 相信，物联网、个人设备和数据中心对人工智能芯片的需求会不断增高。Aaron Rakers 表示：「在整体芯片行业中，定制化人工智能芯片具有长期重要性，而我们目前正处于早期阶段。」Aaron Rakers 补充表示，人工智能工作在未来会变得更加专业化，定制芯片市场因此会得到进一步扩大。,"[('芯片', 0.6508075555677109), ('人工智能', 0.5697606262343373), ('Aaron', 0.4321000302253012), ('Rakers', 0.4321000302253012), ('Gartner', 0.2880666868168675)]"
57,MIT 借助RFID标签 帮助机器人以高精度跟踪移动物体,近日，麻省理工学院开发了一种使用RFID 标签的新型系统，帮助机器人以前所未有的速度和精确度跟踪移动物体。研究人员表明，使用该系统的机器人可以在平均7.5毫秒内定位标记物体，误差小于1厘米。研究人员还表示，该系统可取代计算机视觉，帮助完成某些机器人任务。系统可帮助从事包装和装配的机器人以及执行搜索和救援任务的大量无人机实现更大的协作和精确度。,"[('机器人', 0.5471059775935484), ('精确度', 0.324210646783871), ('系统', 0.3200115764077419), ('帮助', 0.2810830761469355), ('物体', 0.23147238741322582)]"
58,微软宣布在法国成立人工智能全球发展中心,2月22日消息，微软公司宣布，将依托位于巴黎近郊伊西莱穆利诺市的微软工程中心成立一个人工智能全球发展中心，旨在为微软的全球用户与合作伙伴提供人工智能解决方案等。微软公司当天说，这个人工智能全球发展中心已吸引了来自全球各地的100余名工程师。新成立的人工智能全球发展中心的使命是支持微软的用户进行数字化转型，通过人工智能提高效率和生产力。,"[('人工智能', 0.8296514382008773), ('微软', 0.47502528046157894), ('全球', 0.43000407488508774), ('微软公司', 0.39272377020701754), ('中心', 0.3382529360042105)]"
59,宜大城南校区投资2亿多元 拟设东部首座无人机办公室,宜兰大学取得城南校区约26公顷的土地后，预计先斥资2亿多元，规划设置城南校区，分两期开发，第1期计画预计兴建2栋建筑，除成立创新育成中心及食品创客中心，还要设置智慧农业专区，内含智慧园艺、智慧农机及无人机办公室，投资额约1亿1000万元，兴建经费由宜大自行编列，工程已进入设计阶段，预计年底发包动工，但完工时间仍未定。宜大生物机电工程学系主任杨江益表示，未来宜大的无人机办公室，将协助学生考取无人机飞行证照，以及农业特殊用途如施肥、喷药的无人机飞行证照，并将研究制造农业植保机，用于国土及水土保持监测。,"[('无人机', 0.4196601047795653), ('宜大', 0.38982937509456517), ('智慧', 0.24104049505434783), ('证照', 0.22428605898913043), ('校区', 0.2121204983821739)]"
