,heading,content,keyword
14,腔镜手术机器人研发公司「北京术锐」完成数千万元A轮融资,2月26日消息，腔镜手术机器人研发公司北京术锐技术有限公司宣布完成数千万元A轮融资，由顺为资本领投，汇鼎基石跟投，老股东天峰医疗继续支持。本轮资金将主要用于扩充研发团队、开展临床研究、拓展手术机器人适应症范围、并完善机器人制造体系、扩大样机生产。北京术锐成立于2014年，是一家致力于独立自主研发、生产和销售微创外科手术机器人系统的高新技术企业，总部位于北京，在上海设有研发中心。目前，其自主研发的产品——术锐EZ Port®腔镜手术机器人系统的样机已研制完成，预计今年进入临床研究程序。（36氪）,"[('机器人', 0.4608773180815217), ('术锐', 0.38982937509456517), ('研发', 0.36835929311847826), ('腔镜', 0.25988625006304344), ('手术', 0.23128508831347827)]"
15,Linker Networks 推出基于 Microsoft Azure 的自动驾驶自动标签服务,Linker Networks 今天宣布推出为自动驾驶行业提供持续学习的世界级人工智能自动贴标服务。Linker 的自动标记技术与 Microsoft Azure 云服务集成，为自动驾驶，制造，公共安全和医学成像等垂直整合行业中的机器学习预处理数据集提供了无缝，可扩展的解决方案。该服务将于 2019 年 6 月正式全面推出。（美通社）,"[('自动', 0.5635910494834783), ('Linker', 0.5197725001260869), ('服务', 0.3484011258958696), ('驾驶', 0.31439911139652177), ('标记技术', 0.30218864460869566)]"
16,谷歌助手将植入到安卓手机短信应用中,Google 希望为您的短信添加更多人工智能。谷歌表示，正在将 Android 智能手机上的 Google 智能助手应用到手机上。Google 语音助手，类似于亚马逊的 Alexa 和 Apple 的 Siri，可以在早上的朗读头条新闻，帮助你检查航班或关掉走廊里的灯。在将智能助手应用到安卓短信功能中，也就意味着，在以下三种场景中为用户对话添加更多上下文：电影，餐馆和天气。例如，如果您正在与朋友聊天并提及旧金山的 Halu 餐厅，那么助理可能会建议您向朋友发送一张卡片，其中包含有关餐厅的更多信息。该建议将显示在短信应用中弹出键盘上方的自动智能回复旁。（cnet）,"[('Google', 0.4321000302253012), ('短信', 0.30494623543192767), ('助手', 0.29450981975240964), ('智能', 0.2588009021338554), ('应用', 0.20606795618168675)]"
17,Telefonica 与微软扩大包括在 AI，5G 和边缘计算的合作伙伴关系,西班牙通讯公司 Telefónica 正在加深与微软的关系，以将 Microsoft Azure 用于人工智能扩展到客户家中。微软与总部位于西班牙的 Telefónica 之间的合作伙伴关系将包括建立人工智能家居体验，用于客户参与，并通过使用 AI，区块链，5G 和边缘计算帮助改造 Telefónica 的网络。（fiercetelecom）,"[('Telef', 0.7796587501891303), ('nica', 0.7796587501891303), ('人工智能', 0.41121853893434784), ('微软', 0.39241218820739127), ('西班牙', 0.289101420373913)]"
18,D-Link 和微软合作在 MWC 2019 上推出智能城市解决方案,今天在 MWC 2019，D-Link 宣布与微软合作，为企业和城市提供量身定制的智能边缘解决方案。如今，各种城市和企业都在进行数字化转型和部署物联网解决方案，以便所有类型的环境和基础设施 - 银行，医院，办公室，公园，交叉路口，停车场等都能变得更加智能，安全和高效。包括 5G，云服务，AI 和边缘计算在内的技术进步为这种数字化转型奠定了基础。边缘计算技术和 5G 可实现更好的连接，新服务和更短的延迟，同时机器学习和人工智能支持实时分析，因此用户可以做出明智的决策。（美通社）,"[('5G', 0.3105134416337662), ('边缘', 0.2523549041968831), ('数字化', 0.22989147129168833), ('解决方案', 0.22254438594051948), ('智能', 0.18597813746415584)]"
19,Husqvarna 推出采用 AWD 的 AI 机器人割草机,今天，Husqvarna 宣布推出 HusqvarnaAutomower®435XAWD，这是一款支持 AI 的机器人割草机，配备全轮驱动和智能家居连接。这款标志性的全自动机器人割草机设计用于管理坡度高达 70％的崎岖地形和斜坡，并与 Amazon Alexa，Google Home 一起使用。（financialpost）,"[('割草机', 0.6567353394611111), ('机器人', 0.47111903626111107), ('智能家居', 0.36687584642777776), ('Husqvarna', 0.33207687508055556), ('HusqvarnaAutomower', 0.33207687508055556)]"
20,普华永道与英国巴斯大学合作推动下一代人工智能人才,据外媒报道，作为英国政府与行业领头者的合作之一，普华永道近日宣布与巴斯大学博士培训中心建立新的合作伙伴关系，共同推动人工智能技术的发展。作为协议的一部分，普华永道将为其博士生提供基于项目的研究实习，并担任工业学生顾问，并加入 CDT 的战略合作伙伴关系委员会。据悉，人工智能技术已被囊括为英国现代工业战略的一部分，新的行业资助类人工智能研究生项目将会在英国大学中的 16 个专项中心推出，以培养新一代人工智能学博士。（Consultancy UK）,"[('人工智能', 0.5482913852457971), ('普华永道', 0.32079606689565215), ('合作伙伴', 0.24934377638927538), ('博士', 0.2128666462556522), ('英国大学', 0.17549156786521738)]"
21,人工智能新加坡推出新计划 并与海洋协议合作开发人工智能研究人才,人工智能新加坡（AISG）宣布将推出两个新项目—AISG 工业研究生项目和 AISG 奖学金项目 - 培训战略性工业领域的 AI 研究人才，并吸引新加坡顶级 AI 专家帮助缩小学术界研究和行业解决方案之间的差距。作为研究合作的一部分，AISG 将与 Ocean Protocol 合作，成为第一个根据 AISG 工业研究生课程赞助研究生的组织。（美通社）,"[('AISG', 1.127808254990566), ('研究生', 0.475670344906415), ('AI', 0.4511233019962264), ('工业', 0.2868565014169811), ('项目', 0.2763866259690566)]"
22,「道德」人工智能家庭助手在未来或可自行举报屋主违法行为,"据每日邮报报道，挪威卑尔根大学的学者们在一次会议中讨论了关于 Amazon Echo, Google Home 等家庭助手搭载「有道德的人工智能」的议题。如果欧洲学术界的该想法被付诸实践，家庭助手将会根据其「道德系统」向警察举报其主人的违法行为。有「道德」的人工只能将会迫使家庭助手决定是否将屋主的违法行为上报。报道称，如果该想法被实践，那么人工智能将能权衡是否向警方举报非法活动，有效地对数百万人进行长时间的监视。","[('助手', 0.3819424224914062), ('道德', 0.3343211456404687), ('人工智能', 0.2955633248590625), ('家庭', 0.27074693585578125), ('违法行为', 0.2637841293071875)]"
23,宝马新 AI 系统 让人车交互更自然,即使在使用 Google Assistant 或 Siri 等系统多年之后，当人与无生命物体交谈时，人难免会感到别扭。在汽车产业中中，早期的语音识别系统通常几乎无法使用，用户体验也往往相当糟糕。但随着近年人工智能的发展，人车交互已经取得了更好的进展。日前，宝马宣布希望通过将语音识别系统的数据与更好的人工智能工具，手势控制甚至凝视识别相结合，使其人车交互体验更上一层楼。目前，这款名为 BMW Natural Interaction（自热互动）的新系统将安置在 2021 年推出 BMW iNEXT 电动 SUV。（TechCrunch）,"[('BMW', 0.31459914481315787), ('识别系统', 0.2832943009473684), ('人工智能', 0.24889543146026316), ('交互', 0.23731251919447366), ('语音', 0.22247211263973685)]"
24,谷歌联手 Verily 使用人工智能筛查患者糖尿病眼病,谷歌最新博客称，其正在与 Verily，同时也是谷歌母公司 Alphabet 下属的生命科学部门，两者正在合作利用机器学习来筛查糖尿病性视网膜病变（DR）和糖尿病性黄斑水肿（DME），这两种情况可导致失明。合作目的是实现自动筛查，以便更快地发现疾病，并为更多人提供筛查机会。Verily 作为谷歌母公司 Alphabet 的一部分，实际上一直在与搜索巨头合作，在世界各地进行临床研究，特别是在印度，研究表明该算法在评估疾病图像方面与普通眼科医生和视网膜专家一样准确。该公司表示，这项研究的结果使得今年印度马杜赖的 Aravind 眼科医院的「首次真实世界临床使用该算法」。,"[('筛查', 0.32258239252887644), ('谷歌', 0.2884834853935955), ('Verily', 0.26864646073932585), ('Alphabet', 0.26864646073932585), ('视网膜', 0.19918483257438202)]"
25,谷歌发布基于 TensorFlow 的深度学习框架 Lingvo：用于 Seq2seq 建模,"近日，谷歌大脑发布了基于 TensorFlow 的深度学习框架 Lingvo，侧重于语言相关任务的序列模型，如机器翻译，语音识别和语音合成。

谷歌内部使用它的研究人员数量激增。因此，现在有数十篇已发表的论文，其中使用 Lingvo 制作了最先进的成果。支持的架构包括传统的 RNN 序列模型，Transformer 模型和包含 VAE 组件的模型。为了表明我们对研究界的支持并鼓励可重复的研究工作，我们开源了该框架，并开始发布我们论文中使用的模型。论文链接如下：https://arxiv.org/abs/1902.08295","[('模型', 0.43641691897435897), ('Lingvo', 0.30653250007435895), ('论文', 0.28159332461423076), ('谷歌', 0.21944470256435894), ('语音', 0.21676769949512822)]"
26,华为开发机器学习技术提高光网络效率,"利用机器学习的新工作可以提高光通信网络的效率。随着我们的世界变得越来越互联，与传统的铜线相比，光纤电缆能够在更长的距离上传输更多数据。光传输网络（OTN）已成为光纤电缆封装数据的解决方案，并且改进使其更具成本效益。


来自巴塞罗那的 Universitat Politècnica de Catalunya 和华为的一组研究人员重新设计了人工智能技术，以使 OTN 更有效地运行。他们将在即将于 3 月 3 日至 7 日在美国加利福尼亚州圣地亚哥举行的光纤会议和博览会上展示他们的研究成果。


OTN 需要有关如何分配他们管理的大量流量的规则，并编写规则以使这些瞬间决策变得非常复杂。例如，如果网络提供比语音呼叫所需的更多空间，则可能更好地使用未使用的空间以确保流式传输视频的最终用户不会「仍然缓冲」消息。","[('OTN', 0.33518039727757004), ('光纤', 0.2740245775774766), ('传输', 0.2296331953626168), ('网络', 0.17409750152663553), ('电缆', 0.15539119614168226)]"
27,深度学习识别语音模式中的抑郁症,机器之心获悉，英伟达技术博客透露，心理治疗师经常使用「谈话疗法」来帮助患者通过谈话克服抑郁或焦虑。麻省理工学院的一个研究小组正在利用深度学习来揭示「谈话诊断」，意即通过分析患者的言语来检测抑郁症的迹象。研究人员称。该研究或能有效且廉价地诊断严重的心理健康问题。,"[('谈话', 0.4309571211122449), ('诊断', 0.28300859238204085), ('治疗师', 0.26954143819183674), ('廉价地', 0.26954143819183674), ('研究', 0.2647194863234694)]"
28,Superb AI 为机器学习项目生成定制的培训数据,对于诸多开发机器学习项目的研究来说，一大挑战是如何获取足够的相关数据来训练算法。作为 YC 孵化器 2019 冬季课程的成员之一的 Superb AI，该创业公司帮助公司创建自定义数据集，以满足任何项目的要求，使用 AI 加速标记过程。该公司首席执行官兼联合创始人 Hyun Kim 表示，试图将人工智能和机器学习融入其应用程序的公司面临的一大障碍就是提供一套合适的数据来训练模型。「使用 AI 为大型科技公司制作定制的 AI 培训数据。客户与我们合作，因此能在他们的产品中开发基于机器学习的同时也更快的功能。」（TechCrunch）,"[('AI', 0.5313230001288889), ('机器', 0.22138538412933334), ('公司', 0.19463721908777779), ('学习', 0.19257066056366667), ('数据', 0.15937855594633332)]"
29,微软员工要求微软取消与美国军方的 4.8 亿美元合同,路透社消息，微软公司 94 名员工于周五签署了一份请愿书，要求该公司取消与美国陆军的价值为 4.8 亿美元的硬件合同，停止开发「任何武器技术」。据悉，微软于去年赢得了一份为美国陆军提供至少 2500 个增强现实头盔原型产品。该头盔可在士兵眼前以数字方式显示背景信息。这些装置将被用于战场以及训练中，以提高士兵的「杀伤力，机动性以及态势感知能力」。目前，微软及美国军方没有立即回应该请求。,"[('微软', 0.2694173232468657), ('美国陆军', 0.2638233617597015), ('头盔', 0.25085102766208955), ('士兵', 0.19746779413283583), ('一份', 0.18649723099014925)]"
30,科大讯飞：合资设立广州华南脑控智能科技公司,36氪讯，科大讯飞发布公告称，其全资子公司安徽讯飞云创科技有限公司与胡郁、李远清、广州华南理工大学资产经营有限公司签订《关于成立广州华南脑控智能科技有限公司合作意向协议书》，共同投资设立广州华南脑控智能科技有限公司（暂定名），探索脑机协同在医疗、教育领域的创新应用和产业化落地。,"[('脑控', 0.5197725001260869), ('有限公司', 0.4516252946895652), ('广州', 0.38844687965478264), ('科技', 0.3803657408745652), ('智能', 0.3113112301030435)]"
31,Waymo自动驾驶汽车里程或已超2000万公里,据国外媒体报道，谷歌兄弟公司Waymo配备了自动驾驶技术的测试车正在美国多地进行路测，测试里程目前可能已超过2000万公里。Waymo去年曾6次公布其自动驾驶汽车的路测里程，其中最后一次是在10月11日，当时其路测里程达到了1000万英里（约1609万公里）。,"[('里程', 0.5557694090502272), ('Waymo', 0.5433985228590908), ('路测', 0.5433985228590908), ('万公里', 0.40379080978000004), ('驾驶', 0.32868998009636363)]"
32,高通推出RB3机器人开发平台 助力行业快速发展,随着移动世界大会（MWC 2019）的开幕，5G 成为了绝对的重量级主题。不过作为行业的佼佼者，高通不仅仅将重心放在处理器和基带上。外媒报道称，该公司刚刚发布了全新的 RB3 机器人平台。其采用基于骁龙的软件和硬件，旨在简化智能机器人的开发工作。,"[('机器人', 0.4038163167952381), ('MWC', 0.28463732149761906), ('2019', 0.28463732149761906), ('5G', 0.28463732149761906), ('外媒', 0.28463732149761906)]"
33,联合光电拟8.6亿元投建高清光电成像产品及激光设备智能制造项目,2月26日，联合光电发布公告称，近日，公司与中山市板芙镇人民政府签订了《中山市智能制造装备产业园工业项目投资协议》。公告显示，该项目名称为联合光电高清光电成像产品及激光设备智能制造项目，投资总额为人民币8.6亿元。投资项目拟选址用地位于中山市智能制造装备产业园，总用地面积53333.6平方米（折合约80亩）。,"[('中山市', 0.5688979273754717), ('光电', 0.4539704527686792), ('智能', 0.40529197881339624), ('产业园', 0.36264974380490567), ('制造', 0.31280381676)]"
34,中国成为全球最大金融科技投资市场,埃森哲最新研究显示，2018年中国成为全球最大的金融科技投资市场。去年，全球金融科技投资总额增长超一倍，达到创纪录的553亿美元，中国市场贡献了超过四成（46%）的投资额，备受投资者的青睐。2018年，中国市场的金融科技投资总额增长了八倍，达到255亿美元，接近于2017年全球金融科技投资总额（267亿美元）。本次研究的数据来源于全球风险金融数据与分析机构CB Insights。,"[('投资总额', 0.4076203130658461), ('金融', 0.4039002576407692), ('2018', 0.36783900008923076), ('科技', 0.3589092119021538), ('全球', 0.3016643971501538)]"
35,商汤携手苏宁合作AI：给智慧零售大脑安上眼睛,"从参与第一家无人店「苏宁体育Biu」项目开始，苏宁与商汤就已展开紧密合作。苏宁拥有极佳的线上线下场景入口，商汤科技拥有业内领先的原创AI技术优势。 
双方合作，可以解决后端「货」及前端「人」（消费者）、「场」（到店场景） 的数字化，从店铺管理到顾客洞察，打通数据壁垒、重新定义业务逻辑。","[('苏宁', 0.5173161639070214), ('商汤', 0.43454460416595747), ('场景', 0.345792600273617), ('Biu', 0.25435675538085106), ('AI', 0.25435675538085106)]"
36,日本 AI 创企 Preferred Networks 建立快速原型制作设备Mechano-Workshop,日本 AI 创企Preferred Networks在其总部附近建立了快速原型制作设备Mechano-Workshop，以快速制造和测试机器人硬件。由于计算机模拟无法捕捉真实环境的所有细节，因此该公司打算用该设备快速制作硬件原型并确认其在现实世界中的移动方式。 Preferred Networks认为，通过重复快速原型设计和改进的加速循环，软件开发的速度可以应用于其硬件开发。此外，该公司希望通过提供一个软件和硬件工程师可以密切合作并相互学习的地方来加速新的技术创新。,"[('硬件', 0.4492914186688), ('原型', 0.3350089885136), ('Preferred', 0.3187938000773333), ('Networks', 0.3187938000773333), ('快速', 0.307033049344)]"
37,飞利浦、微软强强联合，通过新型VR技术打造未来手术室！,在MWC 2019展会上，健康科技公司皇家飞利浦于2月26日推出一款与微软公司共同开发的未来手术室混合现实应用工具。基于飞利浦业界领先的Azurion图像引导治疗平台和微软HoloLens 2混合现实头戴式显示器（也称VR眼镜、VR头盔），两家公司将展示用于图像引导微创治疗的新型增强现实应用工具。,"[('VR', 0.46881441187843137), ('飞利浦', 0.42049505182745095), ('现实', 0.3608139479347059), ('图像', 0.30417615756274513), ('头戴式', 0.2725623069019608)]"
38,三大算法驱动下的心怡科技无人仓,科技是心怡发展的驱动力，心怡科技自2014年起开始实施智能化战略，依托电商场景，通过研制物流搬运机器人、货到人/订单到人分拣机器人，引入自动化立体库、高速箱式输送线、高速分拣机等一系列智能设备实现操作的无人化，大力推动无人仓的构建。,"[('心怡', 0.6442697790926829), ('机器人', 0.41366549525365853), ('无人化', 0.33904091834146344), ('高速', 0.3214370374419512), ('分拣机', 0.3052288607536585)]"
39,Linker Networks 推出基于 Microsoft Azure 的自动驾驶自动标签服务,Linker Networks 今天宣布推出为自动驾驶行业提供持续学习的世界级人工智能自动贴标服务。Linker 的自动标记技术与 Microsoft Azure 云服务集成，为自动驾驶，制造，公共安全和医学成像等垂直整合行业中的机器学习预处理数据集提供了无缝，可扩展的解决方案。该服务将于 2019 年 6 月正式全面推出。,"[('自动', 0.5761152950275555), ('Linker', 0.5313230001288889), ('服务', 0.356143373138), ('驾驶', 0.32138575831644445), ('标记技术', 0.30890394782222225)]"
40,黑莓公司耗资14亿美元收购AI安全技术公司Cylance，确保物联网数据安全,2 月 26 日消息，黑莓公司宣布已完成对 AI 安全技术公司 Cylance 的收购，耗资 14 亿美元。Cylance公司总部位于美国加州，利用机器学习来预防安全入侵活动。Cylance利用复杂的AI和机器学习算法来预测，检测和预防已知和未知的威胁 这些技术将增强BlackBerry的QNX和Spark平台在车联网以及各种物联网设备的表现。它的应用程序可以预防恶意程序入侵，而不是在恶意程序入侵再作出反应。黑莓表示，Cylance 将作为公司内的独立业务部门运营，协助其 QNX 部门扩大业务。,"[('Cylance', 0.6375876001546666), ('AI', 0.3187938000773333), ('QNX', 0.3187938000773333), ('恶意程序', 0.3187938000773333), ('入侵', 0.2774995066444)]"
41,京东智能奶茶馆深圳湾门店门窗紧锁 已停业,近日，作为电商行业的中坚力量的京东动作频频，外界未免担忧互联网行业集体过冬。继京东发声要在2019年末位淘汰10%高管之后，京东智能奶茶店也于日前宣布停业，随后京东就此事正式作出回应。,"[('京东', 1.1207237816857143), ('电商', 0.35117827827142856), ('2019', 0.34156478579714283), ('10%', 0.34156478579714283), ('高管', 0.34156478579714283)]"
42,工业机器人激光视觉解决方案商「英莱科技」获2000万元A轮融资,2 月 26 日消息，工业机器人激光视觉解决方案商「英莱科技」获 2000 万元 B 轮融资，投资方为国投京津冀科技成果转化创投基金，本轮融资将主要用于团队建设、产品研发和推广。此前，英莱科技曾获北京诺宝通达资本运营中心 A 轮战略投资。据悉，英莱科技是一家激光视觉焊接系统解决方案商，自研激光传感器硬件和软件算法，与工业焊接机器人配套，帮助客户提高工业焊接效率和质量。,"[('英莱', 0.5517585001338461), ('焊接', 0.3897856863055385), ('激光', 0.360223988748), ('科技', 0.26918190892661537), ('解决方案', 0.2636295033449231)]"
